class,auc
0,0.9940823114168063
1,0.9953204081784773
2,0.9860048259444433
3,0.9648507142149142
4,0.9733648792028975
5,0.9823969614255247
6,0.9753068376340706
7,0.9784395161080475
8,0.9624735705338583
9,0.9645031001709781
