类别,表达式,复杂度,AUC,expr_full
0,0.13*exp(-0.435884386301041*x_175 - 1.01946747303009*x_283 + 0.320256650447845*x_328 + 0.3823062479496*x_358 - 0.246111571788788*x_377 - 0.913810849189758*x_379 + 0.424950182437897*x_429 - 0.396557033061981*x_433 - 0.512018799781799*x_436 - 0.598231673240662*x_462 - 3.205317735672*x_474 + 0.434683054685593*x_482 - 0.425213545560837*x_488 - 1.34474265575409*x_507 + 0.246641665697098*x_514 - 0.253905802965164*x_518 + 1.01017022132874*x_597 - 1.28538286685944*x_66 - 0.324311465024948*x_709 - 1.45280122756958*x_735 - 0.599194347858429*x_742 - 1.48468780517578*x_744 - 3.0428614616394*x_746 - 0.423447161912918*x_96),76,0.9943,0.126887202262878*exp(-0.435884386301041*x_175 - 1.01946747303009*x_283 + 0.320256650447845*x_328 + 0.3823062479496*x_358 - 0.246111571788788*x_377 - 0.913810849189758*x_379 + 0.424950182437897*x_429 - 0.396557033061981*x_433 - 0.512018799781799*x_436 - 0.598231673240662*x_462 - 3.205317735672*x_474 + 0.434683054685593*x_482 - 0.425213545560837*x_488 - 1.34474265575409*x_507 + 0.246641665697098*x_514 - 0.253905802965164*x_518 + 1.01017022132874*x_597 - 1.28538286685944*x_66 - 0.324311465024948*x_709 - 1.45280122756958*x_735 - 0.599194347858429*x_742 - 1.48468780517578*x_744 - 3.0428614616394*x_746 - 0.423447161912918*x_96)
1,0.26*exp(0.165832027792931*x_161 - 0.953812479972839*x_176 - 1.1438912153244*x_177 - 0.516447365283966*x_178 - 0.735819339752197*x_203 - 1.29192805290222*x_233 - 1.03234231472015*x_247 - 1.25896060466766*x_262 - 0.640273988246918*x_274 - 0.458606064319611*x_299 - 0.540902554988861*x_316 - 0.969274818897247*x_319 - 1.54234218597412*x_328 - 0.497854322195053*x_345 - 0.677456855773926*x_347 - 0.639087438583374*x_402 + 1.31394648551941*x_406 - 0.655868887901306*x_430 - 1.64147996902466*x_438 - 1.23891639709473*x_493 - 1.23271787166595*x_538 - 0.247301131486893*x_549 - 0.849355697631836*x_551 - 0.755511105060577*x_579 - 1.36807870864868*x_636 - 1.44547367095947*x_707 - 2.01960325241089*x_709 - 0.496066361665726*x_714 - 2.31890821456909*x_739 - 1.75686037540436*x_96),94,0.9944,0.264642718376952*exp(0.165832027792931*x_161 - 0.953812479972839*x_176 - 1.1438912153244*x_177 - 0.516447365283966*x_178 - 0.735819339752197*x_203 - 1.29192805290222*x_233 - 1.03234231472015*x_247 - 1.25896060466766*x_262 - 0.640273988246918*x_274 - 0.458606064319611*x_299 - 0.540902554988861*x_316 - 0.969274818897247*x_319 - 1.54234218597412*x_328 - 0.497854322195053*x_345 - 0.677456855773926*x_347 - 0.639087438583374*x_402 + 1.31394648551941*x_406 - 0.655868887901306*x_430 - 1.64147996902466*x_438 - 1.23891639709473*x_493 - 1.23271787166595*x_538 - 0.247301131486893*x_549 - 0.849355697631836*x_551 - 0.755511105060577*x_579 - 1.36807870864868*x_636 - 1.44547367095947*x_707 - 2.01960325241089*x_709 - 0.496066361665726*x_714 - 2.31890821456909*x_739 - 1.75686037540436*x_96)
2,-0.048*x_371 + 0.47*x_390 + 0.58*x_418 + 0.45*x_474 + 0.32*x_501 + 0.21*x_528 - 0.096*x_70 + 0.068*(-0.11*x_233 - 0.61*x_277 - 0.67*x_321 - 0.56*x_342 - 1.0*x_346 - 0.57*x_371 + 0.31*x_516 - 0.5*x_528 + 0.21*x_597 - 0.83*x_707 + 1.3)*(1.1*x_122 + 0.91*x_125 + 0.63*x_126 + 1.1*x_151 + 1.0*x_156 - 0.89*x_163 + 0.63*x_178 + 0.25*x_211 - 0.78*x_248 - 0.64*x_316 - 0.81*x_319 - 0.8*x_345 - 1.5*x_348 - 1.3*x_350 - 2.1*x_359 - 0.59*x_379 + 2.9*x_390 - 1.2*x_413 + 2.7*x_418 + 0.86*x_460 + 2.0*x_474 + 0.8*x_482 + 1.3*x_491 + 0.42*x_514 + 1.7*x_528 + 1.7*x_538 + 0.48*x_541 + 0.49*x_543 + 0.67*x_545 + 0.66*x_549 + 1.0*x_568 + 1.5*x_581 + 1.9*x_636 - 0.35*x_655 - 0.65*x_657 - 0.5*x_709),165,0.969,-0.0483407613714248*x_371 + 0.474549825220061*x_390 + 0.577679971642375*x_418 + 0.447843241671659*x_474 + 0.324164576727171*x_501 + 0.210083431521189*x_528 - 0.0955895144739993*x_70 + 0.0680129155516624*(-0.105899512767792*x_233 - 0.613818824291229*x_277 - 0.675276398658752*x_321 - 0.562476992607117*x_342 - 1.00806641578674*x_346 - 0.573650062084198*x_371 + 0.305982530117035*x_516 - 0.504376351833344*x_528 + 0.210242077708244*x_597 - 0.832686424255371*x_707 + 1.33916449546814)*(1.08384025096893*x_122 + 0.910294771194458*x_125 + 0.630940139293671*x_126 + 1.09192800521851*x_151 + 1.01445508003235*x_156 - 0.891038358211517*x_163 + 0.630943715572357*x_178 + 0.253209739923477*x_211 - 0.777773559093475*x_248 - 0.639016211032867*x_316 - 0.807827830314636*x_319 - 0.797488331794739*x_345 - 1.51648223400116*x_348 - 1.31664156913757*x_350 - 2.12592506408691*x_359 - 0.587279975414276*x_379 + 2.93954253196716*x_390 - 1.17775547504425*x_413 + 2.72803664207458*x_418 + 0.856594920158386*x_460 + 2.04687213897705*x_474 + 0.80283111333847*x_482 + 1.25119817256927*x_491 + 0.415322035551071*x_514 + 1.68980860710144*x_528 + 1.74609136581421*x_538 + 0.475595146417618*x_541 + 0.494316697120667*x_543 + 0.665762543678284*x_545 + 0.661949515342712*x_549 + 1.0237056016922*x_568 + 1.51670074462891*x_581 + 1.89294958114624*x_636 - 0.353345960378647*x_655 - 0.6480872631073*x_657 - 0.498054683208466*x_709)
3,0.1*exp(0.436447709798813*x_152 - 0.329281121492386*x_162 + 0.525844991207123*x_183 - 0.643491506576538*x_219 - 0.554409861564636*x_290 - 0.478254407644272*x_291 + 0.407832503318787*x_296 - 0.959761142730713*x_316 - 0.529145121574402*x_342 - 0.393635481595993*x_358 + 1.01144576072693*x_377 - 0.468240231275558*x_416 - 0.180195569992065*x_428 + 0.26018288731575*x_460 - 1.21100604534149*x_486 - 0.303847104310989*x_490 + 0.385777950286865*x_507 - 1.5874764919281*x_516 - 0.781513750553131*x_518 - 0.542862892150879*x_528 + 0.345917046070099*x_677 + 0.572677373886108*x_711 - 0.70645672082901*x_739 - 3.76760959625244*x_746 + 0.296731859445572*x_96),79,0.9612,0.101746246218681*exp(0.436447709798813*x_152 - 0.329281121492386*x_162 + 0.525844991207123*x_183 - 0.643491506576538*x_219 - 0.554409861564636*x_290 - 0.478254407644272*x_291 + 0.407832503318787*x_296 - 0.959761142730713*x_316 - 0.529145121574402*x_342 - 0.393635481595993*x_358 + 1.01144576072693*x_377 - 0.468240231275558*x_416 - 0.180195569992065*x_428 + 0.26018288731575*x_460 - 1.21100604534149*x_486 - 0.303847104310989*x_490 + 0.385777950286865*x_507 - 1.5874764919281*x_516 - 0.781513750553131*x_518 - 0.542862892150879*x_528 + 0.345917046070099*x_677 + 0.572677373886108*x_711 - 0.70645672082901*x_739 - 3.76760959625244*x_746 + 0.296731859445572*x_96)
4,0.99*exp(-43.7336157574648*(-0.122674061896958*x_101 - 0.111899287456073*x_122 - 0.0785199310190623*x_126 - 0.0672806458386075*x_130 - 0.0661774153693204*x_152 - 0.134793017529542*x_155 - 0.196009408628414*x_183 - 0.163497379253616*x_211 - 0.157103422159113*x_239 - 0.0820534843816956*x_249 - 0.0677817451078355*x_266 - 0.149492503258583*x_294 - 0.0292082775755206*x_297 - 0.0683026235440388*x_321 - 0.114242891162793*x_331 + 0.0811196319007346*x_348 - 0.156729722536818*x_350 - 0.384382012839072*x_418 + 0.0580901380577743*x_430 - 0.0613011679704002*x_543 - 0.00622596880784359*x_549 - 0.10131492298626*x_554 - 0.117055624803921*x_568 - 0.0550879498302624*x_570 - 0.224442540244589*x_594 - x_64 - 0.835468552016803*x_66 - 0.537558371300561*x_68 - 0.156763323236059*x_739 - 0.160574316707068*x_742 - 0.189062932739692*x_744 - 0.19452369530684*x_746 - 0.585501774167393*x_748 - 0.28596428490826*x_96 - 0.616091389287246*x_97 - 0.2509668673311*x_99)**2),116,0.9206,0.988771021366119*exp(-43.7336157574648*(-0.122674061896958*x_101 - 0.111899287456073*x_122 - 0.0785199310190623*x_126 - 0.0672806458386075*x_130 - 0.0661774153693204*x_152 - 0.134793017529542*x_155 - 0.196009408628414*x_183 - 0.163497379253616*x_211 - 0.157103422159113*x_239 - 0.0820534843816956*x_249 - 0.0677817451078355*x_266 - 0.149492503258583*x_294 - 0.0292082775755206*x_297 - 0.0683026235440388*x_321 - 0.114242891162793*x_331 + 0.0811196319007346*x_348 - 0.156729722536818*x_350 - 0.384382012839072*x_418 + 0.0580901380577743*x_430 - 0.0613011679704002*x_543 - 0.00622596880784359*x_549 - 0.10131492298626*x_554 - 0.117055624803921*x_568 - 0.0550879498302624*x_570 - 0.224442540244589*x_594 - x_64 - 0.835468552016803*x_66 - 0.537558371300561*x_68 - 0.156763323236059*x_739 - 0.160574316707068*x_742 - 0.189062932739692*x_744 - 0.19452369530684*x_746 - 0.585501774167393*x_748 - 0.28596428490826*x_96 - 0.616091389287246*x_97 - 0.2509668673311*x_99)**2)
5,-0.069*x_101 + 0.15*x_163 + 0.1*x_219 + 0.15*x_248 + 0.33*x_277 - 0.04*x_299 + 0.059*x_316 - 0.14*x_329 + 0.031*x_342 + 0.075*x_347 - 0.13*x_360 - 0.061*x_501 + 0.066*x_538 + 0.67*exp(-37.3714963753091*(-0.0496628243532669*x_122 - 0.0264132200910458*x_125 - 0.531790999908115*x_172 + 0.111249633200571*x_188 - 0.208308009027517*x_201 + 0.0361856314776857*x_233 + 0.207151177057614*x_247 - 0.0984741026732639*x_295 - 0.200896925031267*x_297 + 0.385100361471965*x_302 + 0.0531078334551968*x_346 - 0.970426722873105*x_355 + 0.402015801742822*x_359 - 0.0793509529921083*x_379 - 0.0579059248969491*x_410 + 0.155900326652345*x_413 - 0.0874758138579281*x_436 - 0.0906175162971268*x_462 - 0.144906883645527*x_486 - 0.0711572514199681*x_490 - 0.101792506496308*x_516 + 0.0164760597461475*x_579 - 0.716147318195015*x_70 - 0.0837771164424582*x_739 - 0.201884865461635*x_744 - 0.506027093783185*x_746 - x_75)**2),129,0.9535,-0.0694891158216624*x_101 + 0.154814875233097*x_163 + 0.104071530840301*x_219 + 0.150222407501336*x_248 + 0.328717957007296*x_277 - 0.0397989532398448*x_299 + 0.0592521198720495*x_316 - 0.14358876657928*x_329 + 0.0311096648332241*x_342 + 0.0754450928700106*x_347 - 0.128128639418748*x_360 - 0.0608321379407255*x_501 + 0.0662135111702042*x_538 + 0.670653760433197*exp(-37.3714963753091*(-0.0496628243532669*x_122 - 0.0264132200910458*x_125 - 0.531790999908115*x_172 + 0.111249633200571*x_188 - 0.208308009027517*x_201 + 0.0361856314776857*x_233 + 0.207151177057614*x_247 - 0.0984741026732639*x_295 - 0.200896925031267*x_297 + 0.385100361471965*x_302 + 0.0531078334551968*x_346 - 0.970426722873105*x_355 + 0.402015801742822*x_359 - 0.0793509529921083*x_379 - 0.0579059248969491*x_410 + 0.155900326652345*x_413 - 0.0874758138579281*x_436 - 0.0906175162971268*x_462 - 0.144906883645527*x_486 - 0.0711572514199681*x_490 - 0.101792506496308*x_516 + 0.0164760597461475*x_579 - 0.716147318195015*x_70 - 0.0837771164424582*x_739 - 0.201884865461635*x_744 - 0.506027093783185*x_746 - x_75)**2)
6,N/A,0,0.5,N/A (零或常数)
7,-0.055*x_122 - 0.037*x_126 + 0.092*x_203 - 0.068*x_211 - 0.11*x_249 + 0.069*x_267 + 0.4*x_283 + 0.064*x_297 - 0.14*x_377 - 0.082*x_428 - 0.066*x_430 - 0.11*x_433 - 0.06*x_581 + 0.14*x_677 + 0.2*x_707 + 0.31*x_709 + 0.19*x_711 + 0.17*x_714 + 0.35*x_735 + 0.23*x_739 + 0.3*x_742 + 0.38*x_744 + 0.16,68,0.968,-0.0545618286157925*x_122 - 0.0373695627698449*x_126 + 0.092009305544666*x_203 - 0.0676546905157753*x_211 - 0.112230922290664*x_249 + 0.0688047813919894*x_267 + 0.401192734262395*x_283 + 0.0635902357711995*x_297 - 0.135360853277664*x_377 - 0.0817061221724966*x_428 - 0.0657337069682473*x_430 - 0.107155864692366*x_433 - 0.059863835463787*x_581 + 0.140503137359989*x_677 + 0.195915795650272*x_707 + 0.309479677709163*x_709 + 0.190790400110991*x_711 + 0.167185422135621*x_714 + 0.350908710582708*x_735 + 0.233251196930624*x_739 + 0.300362032248515*x_742 + 0.380585107179023*x_744 + 0.155220612883568
8,-0.15*x_101 - 0.025*x_130 - 0.05*x_151 + 0.049*x_156 - 0.054*x_162 - 0.044*x_163 - 0.058*x_175 - 0.069*x_201 - 0.067*x_266 - 0.13*x_267 + 0.23*x_274 - 0.21*x_283 + 0.065*x_290 + 0.064*x_291 - 0.14*x_296 + 0.064*x_299 + 0.054*x_321 + 0.1*x_329 + 0.086*x_331 + 0.13*x_332 + 0.034*x_342 + 0.13*x_348 + 0.057*x_355 + 0.059*x_376 + 0.031*x_379 - 0.13*x_400 - 0.041*x_402 + 0.078*x_405 + 0.097*x_406 - 0.026*x_416 - 0.18*x_426 - 0.055*x_428 - 0.08*x_429 + 0.046*x_436 - 0.17*x_438 + 0.038*x_460 - 0.2*x_474 - 0.045*x_482 + 0.2*x_488 + 0.19*x_514 + 0.027*x_541 - 0.034*x_549 - 0.082*x_551 - 0.11*x_573 - 0.083*x_581 - 0.22*x_592 - 0.031*x_594 + 0.043*x_655 + 0.23*x_657 + 0.1*x_659 - 0.34*x_677 + 0.2*x_690 + 0.16*x_692 - 0.12*x_707 - 0.13*x_711 - 0.072*x_735 - 0.068*x_742 - 0.066*x_744 - 0.054*x_99,178,0.9413,-0.145540423671307*x_101 - 0.0250758743943313*x_130 - 0.0502454278819533*x_151 + 0.0490889183837919*x_156 - 0.0543455466497758*x_162 - 0.043563514862099*x_163 - 0.0579575497011562*x_175 - 0.0686500329455164*x_201 - 0.0667678873861506*x_266 - 0.129699443007758*x_267 + 0.227736314823641*x_274 - 0.211959577627274*x_283 + 0.0654571772598556*x_290 + 0.0637624694659138*x_291 - 0.142959666124892*x_296 + 0.0636095509036609*x_299 + 0.0537681189315515*x_321 + 0.103932062015369*x_329 + 0.0855175499227236*x_331 + 0.129961974893554*x_332 + 0.034210579720817*x_342 + 0.132918583181346*x_348 + 0.0569198342192934*x_355 + 0.0593087008236237*x_376 + 0.0311809380527439*x_379 - 0.128792509359627*x_400 - 0.0410038807362945*x_402 + 0.0779097376103088*x_405 + 0.0974273051043681*x_406 - 0.0258241209596244*x_416 - 0.183355298443882*x_426 - 0.0547761189316178*x_428 - 0.0797902200399334*x_429 + 0.0463900540136564*x_436 - 0.166513740663219*x_438 + 0.0383000148369561*x_460 - 0.198030150325534*x_474 - 0.045266407947937*x_482 + 0.202289785573294*x_488 + 0.186096285412929*x_514 + 0.0268292001861594*x_541 - 0.0342132732940781*x_549 - 0.0820239074118021*x_551 - 0.112727741817182*x_573 - 0.0830892387554214*x_581 - 0.223519726668092*x_592 - 0.0310391328472326*x_594 + 0.0427098806994546*x_655 + 0.228259145567479*x_657 + 0.102633398118068*x_659 - 0.3433315131469*x_677 + 0.203783776246673*x_690 + 0.158995426672526*x_692 - 0.120042723993306*x_707 - 0.127009519059591*x_711 - 0.0716545207240449*x_735 - 0.0683681146346884*x_742 - 0.0659107673311667*x_744 - 0.0538649866116181*x_99
9,-0.061*x_201 - 0.023*x_266 - 0.067*x_283 + 0.032*x_329 + 0.031*x_342 + 0.051*x_355 + 0.028*x_379 + 0.049*x_428 + 0.041*x_436 + 0.034*x_460 - 0.056*x_541 - 0.03*x_581 - 0.028*x_594 - 0.025*x_655 + 0.1*x_690 + 0.14*x_692 - 0.048*x_99 + 0.78*exp(-236.803443976286*(0.706223385864351*x_125 + 0.230893366089224*x_130 + 0.45587343695841*x_151 + 0.792222473490367*x_152 + x_155 + 0.250791758044022*x_156 + 0.682797957625862*x_157 + 0.567425596310643*x_159 + 0.27295047876704*x_161 + 0.214320224676277*x_162 + 0.327226195309386*x_175 + 0.300409142902047*x_176 + 0.115357952474624*x_177 + 0.0536689649128928*x_178 + 0.0291655152505338*x_188 + 0.193464388503989*x_190 + 0.149662489177102*x_201 + 0.173820118918485*x_203 + 0.142823975963699*x_219 + 0.117843392263735*x_230 + 0.0297921177692487*x_233 + 0.0293645973980918*x_243 + 0.127298527689175*x_247 + 0.469975725596676*x_249 + 0.0259504342390741*x_262 + 0.0290968524770842*x_268 + 0.214123830629625*x_283 + 0.0445639914273286*x_321 + 0.33789248674712*x_332 + 0.366394660808765*x_360 - 0.0201902097102943*x_371 - 0.0329982939622868*x_376 - 0.051765526083503*x_403 + 0.533005571976125*x_416 + 0.270717852156867*x_444 - 0.050051342727319*x_458 + 0.316105421151199*x_472 + 0.444511771774872*x_501 - 0.0409851762777558*x_514 + 0.0203360353111414*x_518 + 0.192033017377929*x_538 + 0.365402464946699*x_568 + 0.0594133009835753*x_570 + 0.16440755154631*x_592 + 0.392747624601921*x_594 + 0.016290803667493*x_657 + 0.0246597836461456*x_659)**2) - 0.18*exp(-43.7336157574648*(-0.122674061896958*x_101 - 0.111899287456073*x_122 - 0.0785199310190623*x_126 - 0.0672806458386075*x_130 - 0.0661774153693204*x_152 - 0.134793017529542*x_155 - 0.196009408628414*x_183 - 0.163497379253616*x_211 - 0.157103422159113*x_239 - 0.0820534843816956*x_249 - 0.0677817451078355*x_266 - 0.149492503258583*x_294 - 0.0292082775755206*x_297 - 0.0683026235440388*x_321 - 0.114242891162793*x_331 + 0.0811196319007346*x_348 - 0.156729722536818*x_350 - 0.384382012839072*x_418 + 0.0580901380577743*x_430 - 0.0613011679704002*x_543 - 0.00622596880784359*x_549 - 0.10131492298626*x_554 - 0.117055624803921*x_568 - 0.0550879498302624*x_570 - 0.224442540244589*x_594 - x_64 - 0.835468552016803*x_66 - 0.537558371300561*x_68 - 0.156763323236059*x_739 - 0.160574316707068*x_742 - 0.189062932739692*x_744 - 0.19452369530684*x_746 - 0.585501774167393*x_748 - 0.28596428490826*x_96 - 0.616091389287246*x_97 - 0.2509668673311*x_99)**2),315,0.9616,-0.061298573093044*x_201 - 0.0228943985080496*x_266 - 0.0671745892097988*x_283 + 0.0323693752912444*x_329 + 0.0305471043726406*x_342 + 0.0508245148418851*x_355 + 0.0278418950192307*x_379 + 0.0489355021681757*x_428 + 0.0414223270512224*x_436 + 0.0341986180955089*x_460 - 0.055670442446905*x_541 - 0.0295228371575931*x_581 - 0.0277152751709648*x_594 - 0.0248395887833199*x_655 + 0.103498181854331*x_690 + 0.141969236796733*x_692 - 0.0480967987530114*x_99 + 0.778050363063812*exp(-236.803443976286*(0.706223385864351*x_125 + 0.230893366089224*x_130 + 0.45587343695841*x_151 + 0.792222473490367*x_152 + x_155 + 0.250791758044022*x_156 + 0.682797957625862*x_157 + 0.567425596310643*x_159 + 0.27295047876704*x_161 + 0.214320224676277*x_162 + 0.327226195309386*x_175 + 0.300409142902047*x_176 + 0.115357952474624*x_177 + 0.0536689649128928*x_178 + 0.0291655152505338*x_188 + 0.193464388503989*x_190 + 0.149662489177102*x_201 + 0.173820118918485*x_203 + 0.142823975963699*x_219 + 0.117843392263735*x_230 + 0.0297921177692487*x_233 + 0.0293645973980918*x_243 + 0.127298527689175*x_247 + 0.469975725596676*x_249 + 0.0259504342390741*x_262 + 0.0290968524770842*x_268 + 0.214123830629625*x_283 + 0.0445639914273286*x_321 + 0.33789248674712*x_332 + 0.366394660808765*x_360 - 0.0201902097102943*x_371 - 0.0329982939622868*x_376 - 0.051765526083503*x_403 + 0.533005571976125*x_416 + 0.270717852156867*x_444 - 0.050051342727319*x_458 + 0.316105421151199*x_472 + 0.444511771774872*x_501 - 0.0409851762777558*x_514 + 0.0203360353111414*x_518 + 0.192033017377929*x_538 + 0.365402464946699*x_568 + 0.0594133009835753*x_570 + 0.16440755154631*x_592 + 0.392747624601921*x_594 + 0.016290803667493*x_657 + 0.0246597836461456*x_659)**2) - 0.179034486413002*exp(-43.7336157574648*(-0.122674061896958*x_101 - 0.111899287456073*x_122 - 0.0785199310190623*x_126 - 0.0672806458386075*x_130 - 0.0661774153693204*x_152 - 0.134793017529542*x_155 - 0.196009408628414*x_183 - 0.163497379253616*x_211 - 0.157103422159113*x_239 - 0.0820534843816956*x_249 - 0.0677817451078355*x_266 - 0.149492503258583*x_294 - 0.0292082775755206*x_297 - 0.0683026235440388*x_321 - 0.114242891162793*x_331 + 0.0811196319007346*x_348 - 0.156729722536818*x_350 - 0.384382012839072*x_418 + 0.0580901380577743*x_430 - 0.0613011679704002*x_543 - 0.00622596880784359*x_549 - 0.10131492298626*x_554 - 0.117055624803921*x_568 - 0.0550879498302624*x_570 - 0.224442540244589*x_594 - x_64 - 0.835468552016803*x_66 - 0.537558371300561*x_68 - 0.156763323236059*x_739 - 0.160574316707068*x_742 - 0.189062932739692*x_744 - 0.19452369530684*x_746 - 0.585501774167393*x_748 - 0.28596428490826*x_96 - 0.616091389287246*x_97 - 0.2509668673311*x_99)**2)
