epoch,loss,regression_loss,sparsity_input,sparsity_model,sparsity_unary,sparsity_binary,accuracy
1,1.152267575263977,0.26867422461509705,0.21804435551166534,0.8414251208305359,5.3304906032280996e-05,0.003624734003096819,0.8873166441917419
2,0.8382548093795776,0.21455630660057068,0.44310927391052246,0.9136375188827515,0.0014925369760021567,0.005756928585469723,0.9102500081062317
3,1.0050376653671265,0.26730820536613464,0.5097748041152954,0.9288902282714844,0.024147115647792816,0.007675903383642435,0.9057166576385498
4,0.8411995768547058,0.23310643434524536,0.5458283424377441,0.9383729100227356,0.10298527777194977,0.007462684065103531,0.9017333388328552
5,0.9596031308174133,0.2672668695449829,0.5878806114196777,0.9443383812904358,0.05149228125810623,0.0055437092669308186,0.895966649055481
6,0.8780387043952942,0.24551405012607574,0.6082155108451843,0.9486551284790039,0.018656739965081215,0.005756928585469723,0.8951666951179504
7,0.8457607626914978,0.2401328682899475,0.6131395697593689,0.9513717889785767,0.03384854644536972,0.006823025643825531,0.8967499732971191
8,0.881964385509491,0.2569217085838318,0.6300068497657776,0.9539192318916321,0.09040480107069016,0.007462684065103531,0.8923333287239075
9,0.8096485137939453,0.24100817739963531,0.635482132434845,0.956464409828186,0.13832679390907288,0.00810234248638153,0.8951833248138428
10,1.0530136823654175,0.31356310844421387,0.6460314393043518,0.9593662023544312,0.10980766266584396,0.007249464746564627,0.8858000040054321
11,0.8146588802337646,0.24428074061870575,0.6523725390434265,0.9607315063476562,0.11844317615032196,0.008315561339259148,0.8931666612625122
12,0.803562581539154,0.24394240975379944,0.6586177349090576,0.9607923030853271,0.13134287297725677,0.024093830958008766,0.895383358001709
13,0.7760872840881348,0.2357603907585144,0.6644906401634216,0.9611495137214661,0.14216478168964386,0.007249464746564627,0.8963666558265686
14,0.9338139891624451,0.28223440051078796,0.6689535975456238,0.9615768194198608,0.10799482464790344,0.00874200090765953,0.8909666538238525
15,0.788556694984436,0.2391049712896347,0.6720679998397827,0.9631644487380981,0.11886997520923615,0.007249464746564627,0.894266664981842
16,0.7730617523193359,0.23448485136032104,0.6743144392967224,0.9634259343147278,0.1152450442314148,0.006609806325286627,0.895550012588501
17,0.7644792199134827,0.23144234716892242,0.6755681037902832,0.9634408950805664,0.10389047861099243,0.006823025643825531,0.8963666558265686
18,0.764480710029602,0.23170194029808044,0.6773734092712402,0.9637759327888489,0.10500988364219666,0.006396587006747723,0.895383358001709
19,0.7609472274780273,0.23077067732810974,0.6785461902618408,0.9635635018348694,0.10319749265909195,0.007462684065103531,0.8967000246047974
20,0.9629449844360352,0.2929556965827942,0.6841007471084595,0.9641303420066833,0.10431695729494095,0.00874200090765953,0.888533353805542
21,0.8351189494132996,0.2565939724445343,0.6853481531143188,0.9652498960494995,0.14056561887264252,0.00852878112345934,0.8897333145141602
22,0.828833818435669,0.2522410750389099,0.684958815574646,0.9649589657783508,0.10740874707698822,0.007462684065103531,0.8904833197593689
23,0.8310608267784119,0.2535647451877594,0.6854216456413269,0.9651063680648804,0.11241907626390457,0.010874195024371147,0.8894500136375427
24,0.8188160061836243,0.24907435476779938,0.6862024068832397,0.9651336073875427,0.10319742560386658,0.009594879113137722,0.8906333446502686
25,0.9902275204658508,0.3052919805049896,0.6929773092269897,0.9658177495002747,0.13539473712444305,0.016204681247472763,0.8827499747276306
26,0.8484111428260803,0.25961437821388245,0.6906861662864685,0.9664719104766846,0.10405038297176361,0.025159932672977448,0.888949990272522
27,0.8299975395202637,0.2542726397514343,0.6938095092773438,0.966508150100708,0.1046900525689125,0.02793179824948311,0.8897500038146973
28,0.8254344463348389,0.25300702452659607,0.6958132982254028,0.9666939377784729,0.1035705953836441,0.03134332224726677,0.8895166516304016
29,1.0154558420181274,0.31182312965393066,0.7000535130500793,0.9669283032417297,0.10490334779024124,0.033901967108249664,0.877916693687439
30,0.8405938744544983,0.2579321265220642,0.6999658346176147,0.967227041721344,0.1044769138097763,0.032196201384067535,0.8868666887283325
31,0.8425179719924927,0.2587296962738037,0.701665997505188,0.9670798778533936,0.10357066243886948,0.0330490805208683,0.8879500031471252
32,0.8288384079933167,0.25448480248451233,0.7006926536560059,0.9671204686164856,0.10383715480566025,0.03454162925481796,0.8877333402633667
33,0.9317282438278198,0.2876153588294983,0.7022863626480103,0.967814564704895,0.10261108726263046,0.03475484624505043,0.8840833306312561
34,0.8348293304443359,0.25649937987327576,0.702726423740387,0.9678476452827454,0.10394374281167984,0.03603416308760643,0.8862333297729492
35,0.8988393545150757,0.2773013710975647,0.7038188576698303,0.9678087830543518,0.11753714084625244,0.03752671182155609,0.8825833201408386
36,0.8274994492530823,0.2576785981655121,0.7063841223716736,0.9678488969802856,0.15111984312534332,0.036247383803129196,0.8852333426475525
37,0.8335946798324585,0.25689321756362915,0.7085710167884827,0.9680731892585754,0.11385820806026459,0.03624739497900009,0.8864166736602783
38,0.9682803153991699,0.29972490668296814,0.7109155058860779,0.9683634638786316,0.12473376095294952,0.037313491106033325,0.8812833428382874
39,0.9328383207321167,0.28705766797065735,0.7132436633110046,0.9695292115211487,0.1040504202246666,0.03795314580202103,0.8784499764442444
40,0.8512904047966003,0.26194173097610474,0.7121620178222656,0.9696459174156189,0.10293097048997879,0.03923247382044792,0.8826666474342346
41,0.8734215497970581,0.26900169253349304,0.7145745158195496,0.9698753952980042,0.10463680326938629,0.04008535295724869,0.8806999921798706
42,0.8476449251174927,0.26091688871383667,0.713342547416687,0.9697779417037964,0.10362397134304047,0.03965891897678375,0.8820666670799255
43,0.9090080857276917,0.2801220715045929,0.7167384028434753,0.969955563545227,0.10511648654937744,0.04051179066300392,0.8794999718666077
44,0.8458654284477234,0.26065462827682495,0.7163444757461548,0.9701284170150757,0.10367722809314728,0.04264400154352188,0.8822000026702881
45,0.8425813913345337,0.2595132291316986,0.7164853811264038,0.9697990417480469,0.1054895669221878,0.03944569453597069,0.8838833570480347
46,0.9067284464836121,0.2796224355697632,0.7194540500640869,0.9702707529067993,0.1029309332370758,0.043070435523986816,0.8795666694641113
47,0.8526796698570251,0.2626110017299652,0.7182518839836121,0.9705536961555481,0.10383713245391846,0.04051179438829422,0.8815666437149048
48,0.906173050403595,0.27942901849746704,0.7196976542472839,0.970517635345459,0.1034640520811081,0.042643994092941284,0.8810333609580994
49,0.8581352829933167,0.2645505368709564,0.7215706706047058,0.9709451198577881,0.10367725044488907,0.041791122406721115,0.8817833065986633
50,0.876347005367279,0.27201706171035767,0.7241589426994324,0.9711666703224182,0.12931810319423676,0.04051179066300392,0.8779333233833313
51,0.8982893228530884,0.27647289633750916,0.7255482077598572,0.9713727831840515,0.10490323603153229,0.03646061196923256,0.878600001335144
52,0.8618571162223816,0.2679121792316437,0.7264194488525391,0.971757173538208,0.13550202548503876,0.038592807948589325,0.8794000148773193
53,0.8540441989898682,0.2670116722583771,0.7255010008811951,0.9717193841934204,0.1551705002784729,0.03987213596701622,0.8802333474159241
54,0.8831840753555298,0.27592039108276367,0.7289831042289734,0.97230064868927,0.1539447158575058,0.03837958350777626,0.8783000111579895
55,0.8560181856155396,0.2682177424430847,0.7294566035270691,0.9725039005279541,0.15314508974552155,0.047548066824674606,0.8796333074569702
56,0.8836432695388794,0.27630898356437683,0.7297722697257996,0.9725580215454102,0.15373148024082184,0.04157789424061775,0.8779833316802979
57,0.8449551463127136,0.2644844651222229,0.7300414443016052,0.972706139087677,0.15341167151927948,0.04392331838607788,0.8801166415214539
58,0.8485032320022583,0.2671999931335449,0.7314141988754272,0.9728187322616577,0.17649152874946594,0.04179111495614052,0.878333330154419
59,0.887661874294281,0.27861011028289795,0.7338223457336426,0.9728255867958069,0.16497857868671417,0.04371010139584541,0.877133309841156
60,0.862379252910614,0.2696216106414795,0.7325233221054077,0.9728440046310425,0.1533583253622055,0.04093823954463005,0.8795666694641113
61,0.8781646490097046,0.2750733494758606,0.7312167286872864,0.9727362394332886,0.15527713298797607,0.037739939987659454,0.8791666626930237
62,0.8567572832107544,0.2680123448371887,0.7325438261032104,0.9728978276252747,0.15405124425888062,0.04051179438829422,0.8797666430473328
63,0.8433943390846252,0.2635335922241211,0.733429491519928,0.9727717638015747,0.15378479659557343,0.03837959095835686,0.8806833624839783
64,0.8932667970657349,0.2795214354991913,0.7355005145072937,0.9729672074317932,0.15293195843696594,0.04285722225904465,0.8774833083152771
