class,auc
0,0.9819262183809223
1,0.9934144323441937
2,0.9715131081917445
3,0.9684780669390632
4,0.9456819558439129
5,0.9478492765439539
6,0.9843040526718504
7,0.985510693883782
8,0.9512370377886198
9,0.937972274664269
