round,threshold,edges_before,edges_after,drop_ratio,edges_removed,acc_drop,acc
0,0.02,267,185,0.30711610486891383,82,0.0317000150680542,0.6169999837875366
1,0.02,185,165,0.10810810810810811,20,0.025099992752075195,0.5918999910354614
2,0.02,165,161,0.024242424242424242,4,-0.017100036144256592,0.609000027179718
3,0.024666666666666667,161,143,0.11180124223602485,18,0.001000046730041504,0.6079999804496765
