class,auc
0,0.9759725553192452
1,0.924137739116607
2,0.8691702171891099
3,0.7917731472813576
4,0.890609028604931
5,0.8025333393399781
6,0.9635776490042525
7,0.910477158943258
8,0.8563929050959787
9,0.7218384555682209
