class,auc
0,0.995304538666908
1,0.9947727910830843
2,0.9679212566299471
3,0.9547139285674952
4,0.9712125872717113
5,0.9604007022850852
6,0.9840356462234462
7,0.9726439779790476
8,0.958682787712067
9,0.9620158645596373
