类别,表达式,复杂度,AUC,expr_full
0,-0.066*x_106 + 0.05*x_155 - 0.031*x_163 - 0.084*x_174 - 0.04*x_177 - 0.063*x_220 + 0.061*x_240 + 0.02*x_243 + 0.05*x_270 + 0.051*x_301 - 0.16*x_305 - 0.11*x_351 + 0.06*x_358 + 0.14*x_359 - 0.047*x_381 - 0.081*x_405 - 0.083*x_408 + 0.047*x_414 + 0.095*x_428 - 0.12*x_463 - 0.094*x_488 - 0.099*x_507 + 0.06*x_509 + 0.073*x_513 + 0.03*x_569 + 0.068*x_627 - 0.091*x_648 + 0.055*x_655 - 0.058*x_707 - 0.073*x_710 - 0.033*x_713 - 0.037*x_718 - 0.21*cos(-0.282540887594223*x_102 - 0.420724004507065*x_121 + 0.311936736106873*x_155 - 0.596645534038544*x_174 + 0.313908874988556*x_240 - 0.687277138233185*x_249 + 0.271351665258408*x_270 - 1.19647705554962*x_305 + 0.279305934906006*x_328 + 0.494444489479065*x_331 - 0.790256142616272*x_351 + 0.482559561729431*x_358 + 0.176251351833344*x_374 - 0.394558757543564*x_382 - 0.556041777133942*x_405 - 0.720512509346008*x_408 + 0.551402688026428*x_428 + 0.267937183380127*x_454 - 0.848434209823608*x_463 - 0.631124019622803*x_488 + 0.354213535785675*x_510 + 0.481454521417618*x_513 + 0.273310005664825*x_569 + 0.493122845888138*x_627 - 0.516408145427704*x_648 + 0.239101141691208*x_655 - 0.244999319314957*x_742) + 0.23,183,0.9953,-0.0659666769677263*x_106 + 0.0503292064517868*x_155 - 0.031516527948666*x_163 - 0.0843821172389281*x_174 - 0.0400824173977454*x_177 - 0.0635037792169584*x_220 + 0.0612315562739365*x_240 + 0.0203298345590989*x_243 + 0.0501703770157214*x_270 + 0.0511697279632604*x_301 - 0.156473038638794*x_305 - 0.114307723370368*x_351 + 0.0603276741303516*x_358 + 0.14239534876324*x_359 - 0.0473391444039004*x_381 - 0.0809600329946436*x_405 - 0.0832351758884129*x_408 + 0.0464795128848638*x_414 + 0.094629451632926*x_428 - 0.121893488097999*x_463 - 0.0937914987811816*x_488 - 0.0994227783249868*x_507 + 0.0601705511461832*x_509 + 0.0727222399844463*x_513 + 0.0296551281711865*x_569 + 0.0674556815697507*x_627 - 0.0912554828982604*x_648 + 0.0549220437423286*x_655 - 0.0575979204439658*x_707 - 0.0727449675931067*x_710 - 0.0328715146685479*x_713 - 0.0369081001351612*x_718 - 0.213671952486038*cos(-0.282540887594223*x_102 - 0.420724004507065*x_121 + 0.311936736106873*x_155 - 0.596645534038544*x_174 + 0.313908874988556*x_240 - 0.687277138233185*x_249 + 0.271351665258408*x_270 - 1.19647705554962*x_305 + 0.279305934906006*x_328 + 0.494444489479065*x_331 - 0.790256142616272*x_351 + 0.482559561729431*x_358 + 0.176251351833344*x_374 - 0.394558757543564*x_382 - 0.556041777133942*x_405 - 0.720512509346008*x_408 + 0.551402688026428*x_428 + 0.267937183380127*x_454 - 0.848434209823608*x_463 - 0.631124019622803*x_488 + 0.354213535785675*x_510 + 0.481454521417618*x_513 + 0.273310005664825*x_569 + 0.493122845888138*x_627 - 0.516408145427704*x_648 + 0.239101141691208*x_655 - 0.244999319314957*x_742) + 0.226978042213426
1,0.39*exp(-0.464203298091888*x_101 - 0.362060964107513*x_102 - 0.636929094791412*x_105 - 1.76939857006073*x_174 - 4.21317768096924*x_177 - 2.21988129615784*x_234 - 0.248116731643677*x_271 - 0.59651905298233*x_273 - 5.95727252960205*x_276 - 2.87756180763245*x_288 - 0.782485604286194*x_291 - 1.44557225704193*x_301 - 0.652560591697693*x_319 - 1.97916173934937*x_328 - 1.24610114097595*x_344 - 0.658191919326782*x_374 - 0.475614160299301*x_375 - 0.702422022819519*x_382 - 1.86873471736908*x_383 - 0.947100162506104*x_402 + 0.977374911308289*x_406 - 3.63838171958923*x_439 - 1.39970564842224*x_493 - 2.61211705207825*x_510 - 0.809891223907471*x_522 - 2.57677388191223*x_537 - 0.836320042610168*x_550 - 3.31692123413086*x_552 - 1.92889964580536*x_707 - 3.89073014259338*x_708 - 1.30896461009979*x_711 - 0.43438532948494*x_712 - 1.15360844135284*x_715),103,0.9948,0.389430195093155*exp(-0.464203298091888*x_101 - 0.362060964107513*x_102 - 0.636929094791412*x_105 - 1.76939857006073*x_174 - 4.21317768096924*x_177 - 2.21988129615784*x_234 - 0.248116731643677*x_271 - 0.59651905298233*x_273 - 5.95727252960205*x_276 - 2.87756180763245*x_288 - 0.782485604286194*x_291 - 1.44557225704193*x_301 - 0.652560591697693*x_319 - 1.97916173934937*x_328 - 1.24610114097595*x_344 - 0.658191919326782*x_374 - 0.475614160299301*x_375 - 0.702422022819519*x_382 - 1.86873471736908*x_383 - 0.947100162506104*x_402 + 0.977374911308289*x_406 - 3.63838171958923*x_439 - 1.39970564842224*x_493 - 2.61211705207825*x_510 - 0.809891223907471*x_522 - 2.57677388191223*x_537 - 0.836320042610168*x_550 - 3.31692123413086*x_552 - 1.92889964580536*x_707 - 3.89073014259338*x_708 - 1.30896461009979*x_711 - 0.43438532948494*x_712 - 1.15360844135284*x_715)
2,0.13*x_121 + 0.1*x_126 - 0.086*x_350 - 0.13*x_358 - 0.047*x_375 + 0.05*x_463 + 0.9*x_474 + 0.13*x_508 + 0.16*x_527 + 0.068*x_540 + 0.49*x_557 + 0.11*x_594 + 0.26*x_638 + 0.087*exp(0.256606787443161*x_212 + 0.259338706731796*x_327 - 0.937167882919312*x_344 - 1.47976243495941*x_346 - 1.30972218513489*x_348 + 0.45011493563652*x_358 - 1.50060451030731*x_371 - 1.39669740200043*x_397 + 0.246584817767143*x_427 + 0.401716530323029*x_493 + 0.994711399078369*x_514 + 0.316275179386139*x_550 + 0.353722840547562*x_555 + 0.53895092010498*x_635 - 0.282009690999985*x_658 - 1.07053828239441*x_679 - 1.18531680107117*x_710 - 0.826920807361603*x_713 - 0.865346014499664*x_717 - 1.10913610458374*x_721 - 0.714985013008118*x_742),107,0.9679,0.133170938795533*x_121 + 0.103876814467454*x_126 - 0.086114996296355*x_350 - 0.132541279458702*x_358 - 0.0472401964223192*x_375 + 0.0502272434486142*x_463 + 0.897031248053842*x_474 + 0.128628721127614*x_508 + 0.159057317236483*x_527 + 0.0678883974989075*x_540 + 0.494252873558466*x_557 + 0.10508532640437*x_594 + 0.258954379779922*x_638 + 0.0868527963757515*exp(0.256606787443161*x_212 + 0.259338706731796*x_327 - 0.937167882919312*x_344 - 1.47976243495941*x_346 - 1.30972218513489*x_348 + 0.45011493563652*x_358 - 1.50060451030731*x_371 - 1.39669740200043*x_397 + 0.246584817767143*x_427 + 0.401716530323029*x_493 + 0.994711399078369*x_514 + 0.316275179386139*x_550 + 0.353722840547562*x_555 + 0.53895092010498*x_635 - 0.282009690999985*x_658 - 1.07053828239441*x_679 - 1.18531680107117*x_710 - 0.826920807361603*x_713 - 0.865346014499664*x_717 - 1.10913610458374*x_721 - 0.714985013008118*x_742)
3,1.1*exp(-44.0281257585602*(0.0633902515979084*x_151 + 0.0492988000397833*x_174 + 0.039550484183757*x_234 - 0.152351556673487*x_289 - 0.125644951937346*x_291 - 0.139617667949803*x_315 - 0.0959943111139345*x_331 - 0.0691296393457655*x_357 + 0.0697727093723218*x_377 - 0.0463063642611792*x_427 - 0.0548422579681271*x_484 - 0.0749884857601425*x_486 - 0.0492729338721521*x_490 + 0.12047068538131*x_507 - 0.0604340077933923*x_514 - 0.119880510971387*x_516 - 0.0836727360191006*x_517 - 0.0624797166846635*x_519 - 0.505599344839932*x_557 + 0.0926120907387496*x_591 - x_612 - 0.0519873139630127*x_638 + 0.0533211755009458*x_655 + 0.0699781610316299*x_679 - 0.519874630786171*x_741 - 0.59557821569777*x_742 - 0.647885741946787*x_746 - 0.574131547127214*x_748 - 0.162504892069766)**2),93,0.9547,1.0571950674057*exp(-44.0281257585602*(0.0633902515979084*x_151 + 0.0492988000397833*x_174 + 0.039550484183757*x_234 - 0.152351556673487*x_289 - 0.125644951937346*x_291 - 0.139617667949803*x_315 - 0.0959943111139345*x_331 - 0.0691296393457655*x_357 + 0.0697727093723218*x_377 - 0.0463063642611792*x_427 - 0.0548422579681271*x_484 - 0.0749884857601425*x_486 - 0.0492729338721521*x_490 + 0.12047068538131*x_507 - 0.0604340077933923*x_514 - 0.119880510971387*x_516 - 0.0836727360191006*x_517 - 0.0624797166846635*x_519 - 0.505599344839932*x_557 + 0.0926120907387496*x_591 - x_612 - 0.0519873139630127*x_638 + 0.0533211755009458*x_655 + 0.0699781610316299*x_679 - 0.519874630786171*x_741 - 0.59557821569777*x_742 - 0.647885741946787*x_746 - 0.574131547127214*x_748 - 0.162504892069766)**2)
4,-0.064*x_101 - 0.06*x_105 - 0.055*x_126 - 0.078*x_210 - 0.042*x_239 - 0.11*x_249 - 0.036*x_276 + 0.05*x_351 + 0.036*x_374 + 0.11*x_400 + 0.069*x_409 + 0.028*x_430 + 0.062*x_484 + 0.073*x_490 + 0.053*x_493 - 0.027*x_540 - 0.036*x_544 - 0.026*x_552 - 0.021*x_555 - 0.048*x_569 - 0.038*x_594 - 0.25*x_67 - 0.16*x_69 - 0.059*x_707 - 0.068*x_710 - 0.12*x_712 - 0.065*x_716 - 0.057*x_717 - 0.12*x_719 - 0.092*x_737 - 0.03*x_741 - 0.11*x_742 - 0.096*x_746 - 0.17*x_748 + 0.054*(-1.1*x_182 - 1.0*x_212 + 1.0*x_346 + 1.4*x_397 + 0.67*x_402 + 0.99*x_409 + 0.78*x_439 + 0.84*x_461 - 0.66*x_513)*(-0.43*x_102 - 0.95*x_103 - 0.73*x_127 - 0.64*x_182 + 0.52*x_218 - 0.95*x_240 - 0.79*x_303 - 0.52*x_350 + 1.2*x_371 + 1.2*x_432 + 2.0*x_463 - 0.62*x_544 + 0.48*x_635 - 1.5*x_69),176,0.9712,-0.0635635285079799*x_101 - 0.0599329196408718*x_105 - 0.0547657741666949*x_126 - 0.0780446442353*x_210 - 0.0419342404578837*x_239 - 0.107906420151649*x_249 - 0.0356612967224561*x_276 + 0.0495679271295715*x_351 + 0.0358736430404674*x_374 + 0.111278566302351*x_400 + 0.0686250144867584*x_409 + 0.0281555085935683*x_430 + 0.0618770415454057*x_484 + 0.0726981969033753*x_490 + 0.0530770157516223*x_493 - 0.0272027968689841*x_540 - 0.036087492163277*x_544 - 0.0256660878089057*x_552 - 0.0211784909556414*x_555 - 0.0483546315165624*x_569 - 0.037690573459541*x_594 - 0.253867030933687*x_67 - 0.155574225530292*x_69 - 0.0586286427472*x_707 - 0.0677383054561962*x_710 - 0.11506670853016*x_712 - 0.0646200544807591*x_716 - 0.0567496538807966*x_717 - 0.120835665735728*x_719 - 0.0916842976745613*x_737 - 0.0302863059538199*x_741 - 0.109931816696017*x_742 - 0.0956713915487608*x_746 - 0.172860865945349*x_748 + 0.0542730428278446*(-1.09881007671356*x_182 - 1.0201416015625*x_212 + 1.0048131942749*x_346 + 1.408198595047*x_397 + 0.668281614780426*x_402 + 0.985119700431824*x_409 + 0.778698205947876*x_439 + 0.837287783622742*x_461 - 0.65550285577774*x_513)*(-0.428168505430222*x_102 - 0.945820569992065*x_103 - 0.727090239524841*x_127 - 0.642777800559998*x_182 + 0.518722593784332*x_218 - 0.949417173862457*x_240 - 0.789223372936249*x_303 - 0.523337960243225*x_350 + 1.22101020812988*x_371 + 1.16597521305084*x_432 + 1.9792377948761*x_463 - 0.618591129779816*x_544 + 0.476447284221649*x_635 - 1.50774347782135*x_69)
5,0.19*x_163 - 0.031*x_174 + 0.17*x_193 + 0.055*x_217 + 0.16*x_220 + 0.19*x_249 + 0.097*x_276 + 0.043*x_288 + 0.04*x_291 + 0.3*x_305 - 0.08*x_327 - 0.24*x_330 - 0.039*x_357 - 0.032*x_408 - 0.031*x_427 - 0.039*x_490 + 0.02*x_627 - 0.25*cos(0.468813866376877*x_102 + 0.746016085147858*x_103 + 0.668828964233398*x_106 + 0.186539828777313*x_127 - 0.46286541223526*x_158 - 0.608505070209503*x_218 - 0.689524471759796*x_247 - 0.495839864015579*x_249 + 0.494557589292526*x_270 - 1.05982649326324*x_276 + 0.360057562589645*x_295 - 1.54967749118805*x_305 + 0.584849894046783*x_324 + 1.44450807571411*x_328 - 3.35103273391724*x_331 - 0.358829468488693*x_346 - 0.330748915672302*x_375 + 0.456118702888489*x_381 + 0.222904101014137*x_406 + 0.339908689260483*x_461 + 0.718848407268524*x_486 - 0.458099752664566*x_509 + 0.252513498067856*x_544 - 0.341631084680557*x_555 - 0.265880316495895*x_569 + 0.392824769020081*x_591 - 0.0558651275932789*x_594 - 0.240538865327835*x_655 + 0.502723932266235*x_99 - 1.54091441631317) + 0.25,145,0.9604,0.185513780076475*x_163 - 0.0314909597255735*x_174 + 0.168346156401327*x_193 + 0.0552725393977598*x_217 + 0.164855344420117*x_220 + 0.185255504505417*x_249 + 0.0965642990610069*x_276 + 0.0431039847162755*x_288 + 0.0402824366109491*x_291 + 0.295708173894415*x_305 - 0.080294828470783*x_327 - 0.241683246856987*x_330 - 0.0390348333976487*x_357 - 0.0322014248786888*x_408 - 0.0306672146899025*x_427 - 0.0389910557066484*x_490 + 0.0203777681530877*x_627 - 0.246642798185349*cos(0.468813866376877*x_102 + 0.746016085147858*x_103 + 0.668828964233398*x_106 + 0.186539828777313*x_127 - 0.46286541223526*x_158 - 0.608505070209503*x_218 - 0.689524471759796*x_247 - 0.495839864015579*x_249 + 0.494557589292526*x_270 - 1.05982649326324*x_276 + 0.360057562589645*x_295 - 1.54967749118805*x_305 + 0.584849894046783*x_324 + 1.44450807571411*x_328 - 3.35103273391724*x_331 - 0.358829468488693*x_346 - 0.330748915672302*x_375 + 0.456118702888489*x_381 + 0.222904101014137*x_406 + 0.339908689260483*x_461 + 0.718848407268524*x_486 - 0.458099752664566*x_509 + 0.252513498067856*x_544 - 0.341631084680557*x_555 - 0.265880316495895*x_569 + 0.392824769020081*x_591 - 0.0558651275932789*x_594 - 0.240538865327835*x_655 + 0.502723932266235*x_99 - 1.54091441631317) + 0.250626604096297
6,0.069*(-0.27*x_163 - 0.23*x_217 - 0.85*x_243 - 0.5*x_249 - 0.25*x_273 - 0.53*x_296 + 0.18*x_348 - 1.6*x_474 - 0.22*x_555 - 0.47*x_594 - 0.52*x_612 - 0.41*x_638 - 0.6*x_660 + 0.36*x_69 - 0.23*x_715 + 1.3)*(3.2*x_101 + 3.6*x_103 + 2.9*x_105 + 1.8*x_106 - 0.81*x_155 - 0.46*x_210 - 0.82*x_212 - 0.99*x_217 - 0.63*x_247 - 1.4*x_270 - 0.4*x_271 - 0.49*x_295 - 0.55*x_296 - 1.3*x_303 - 0.39*x_328 + 1.8*x_359 + 0.63*x_375 + 0.54*x_402 + 1.9*x_414 + 0.72*x_458 - 0.73*x_509 - 0.77*x_510 + 1.8*x_514 + 0.71*x_522 + 1.3*x_544 - 3.1*x_557 + 0.98*x_573 + 0.85*x_575 + 0.52*x_577 - 0.52*x_635 + 1.1*x_648 + 3.8*x_67 + 0.63*x_708 + 0.8*x_741 + 2.5*x_99),155,0.984,0.0694153681397438*(-0.269798368215561*x_163 - 0.231356203556061*x_217 - 0.852455258369446*x_243 - 0.501903355121613*x_249 - 0.254700243473053*x_273 - 0.527186393737793*x_296 + 0.179476648569107*x_348 - 1.600457072258*x_474 - 0.217673391103745*x_555 - 0.468564599752426*x_594 - 0.521036505699158*x_612 - 0.410569399595261*x_638 - 0.601117491722107*x_660 + 0.356702506542206*x_69 - 0.226423770189285*x_715 + 1.31929421424866)*(3.20069265365601*x_101 + 3.6330828666687*x_103 + 2.93336343765259*x_105 + 1.82045364379883*x_106 - 0.809820473194122*x_155 - 0.457135796546936*x_210 - 0.82285487651825*x_212 - 0.989652931690216*x_217 - 0.632194757461548*x_247 - 1.38746619224548*x_270 - 0.398688495159149*x_271 - 0.489008665084839*x_295 - 0.546044945716858*x_296 - 1.25382399559021*x_303 - 0.385365515947342*x_328 + 1.8102480173111*x_359 + 0.632742583751678*x_375 + 0.545341908931732*x_402 + 1.9185163974762*x_414 + 0.720111072063446*x_458 - 0.725789785385132*x_509 - 0.771796226501465*x_510 + 1.82513630390167*x_514 + 0.708598375320435*x_522 + 1.33466923236847*x_544 - 3.14381432533264*x_557 + 0.975462675094604*x_573 + 0.851240694522858*x_575 + 0.520422279834747*x_577 - 0.520408689975739*x_635 + 1.11281561851501*x_648 + 3.78444862365723*x_67 + 0.625641882419586*x_708 + 0.797425806522369*x_741 + 2.54004788398743*x_99)
7,0.99*exp(-2.40801453590393*x_101 - 2.84759426116943*x_121 - 2.14375972747803*x_126 - 4.09342527389526*x_127 - 1.02266418933868*x_151 - 2.91966819763184*x_153 - 5.8973445892334*x_158 - 4.28039646148682*x_193 - 5.4703688621521*x_250 - 4.64483737945557*x_278 - 0.516961395740509*x_350 - 1.51348495483398*x_377 - 2.46118092536926*x_405 - 2.03451585769653*x_432 - 2.24449753761292*x_458 - 0.694557428359985*x_484 - 1.17913007736206*x_513 - 1.04436695575714*x_537 - 2.44478225708008*x_538 - 1.0649209022522*x_540 - 4.50482845306396*x_555 - 3.17666983604431*x_591 - 1.03761506080627*x_594),73,0.9726,0.994066001378861*exp(-2.40801453590393*x_101 - 2.84759426116943*x_121 - 2.14375972747803*x_126 - 4.09342527389526*x_127 - 1.02266418933868*x_151 - 2.91966819763184*x_153 - 5.8973445892334*x_158 - 4.28039646148682*x_193 - 5.4703688621521*x_250 - 4.64483737945557*x_278 - 0.516961395740509*x_350 - 1.51348495483398*x_377 - 2.46118092536926*x_405 - 2.03451585769653*x_432 - 2.24449753761292*x_458 - 0.694557428359985*x_484 - 1.17913007736206*x_513 - 1.04436695575714*x_537 - 2.44478225708008*x_538 - 1.0649209022522*x_540 - 4.50482845306396*x_555 - 3.17666983604431*x_591 - 1.03761506080627*x_594)
8,0.034*x_155 + 0.05*x_247 + 0.023*x_271 + 0.071*x_303 + 0.073*x_348 - 0.031*x_374 + 0.031*x_381 + 0.038*x_432 + 0.034*x_540 + 0.058*x_655 + 0.049*x_660 + 0.059*x_663 + 0.023*x_679 - 0.047*x_708 - 0.038*x_711 + 0.05*x_742 + 0.05*x_98 + 0.078*exp(-1.61394309997559*x_101 - 0.859455704689026*x_103 - 0.245006054639816*x_163 - 0.205893516540527*x_239 + 0.313886702060699*x_288 - 0.500792264938354*x_295 + 0.305549621582031*x_301 + 0.313046336174011*x_319 + 0.777181208133698*x_405 - 0.494450122117996*x_427 - 0.941352367401123*x_428 - 0.591886341571808*x_439 - 0.800640106201172*x_454 + 0.46243691444397*x_487 + 0.537063479423523*x_488 - 0.741201639175415*x_508 - 0.640217125415802*x_509 - 0.704567730426788*x_527 - 2.63805341720581*x_612 - 1.65400683879852*x_648 + 0.629666149616241*x_658 - 0.245890468358994*x_713 - 0.879093050956726*x_737 - 1.65580546855927*x_742 - 2.24412083625793*x_98) - 0.12 - 0.17*exp(-44.0281257585602*(0.0633902515979084*x_151 + 0.0492988000397833*x_174 + 0.039550484183757*x_234 - 0.152351556673487*x_289 - 0.125644951937346*x_291 - 0.139617667949803*x_315 - 0.0959943111139345*x_331 - 0.0691296393457655*x_357 + 0.0697727093723218*x_377 - 0.0463063642611792*x_427 - 0.0548422579681271*x_484 - 0.0749884857601425*x_486 - 0.0492729338721521*x_490 + 0.12047068538131*x_507 - 0.0604340077933923*x_514 - 0.119880510971387*x_516 - 0.0836727360191006*x_517 - 0.0624797166846635*x_519 - 0.505599344839932*x_557 + 0.0926120907387496*x_591 - x_612 - 0.0519873139630127*x_638 + 0.0533211755009458*x_655 + 0.0699781610316299*x_679 - 0.519874630786171*x_741 - 0.59557821569777*x_742 - 0.647885741946787*x_746 - 0.574131547127214*x_748 - 0.162504892069766)**2),225,0.9587,0.0340810031836956*x_155 + 0.0504295285500511*x_247 + 0.0230122106245307*x_271 + 0.0714319707492681*x_303 + 0.0731078890929595*x_348 - 0.0308429942006931*x_374 + 0.0309047603407997*x_381 + 0.0382415902680986*x_432 + 0.0340673772963322*x_540 + 0.0581736192152338*x_655 + 0.0487878808606439*x_660 + 0.0594009726645339*x_663 + 0.0227243390782323*x_679 - 0.046756334411814*x_708 - 0.0375976105058031*x_711 + 0.0496804678746017*x_742 + 0.0503901009689809*x_98 + 0.0781616345047951*exp(-1.61394309997559*x_101 - 0.859455704689026*x_103 - 0.245006054639816*x_163 - 0.205893516540527*x_239 + 0.313886702060699*x_288 - 0.500792264938354*x_295 + 0.305549621582031*x_301 + 0.313046336174011*x_319 + 0.777181208133698*x_405 - 0.494450122117996*x_427 - 0.941352367401123*x_428 - 0.591886341571808*x_439 - 0.800640106201172*x_454 + 0.46243691444397*x_487 + 0.537063479423523*x_488 - 0.741201639175415*x_508 - 0.640217125415802*x_509 - 0.704567730426788*x_527 - 2.63805341720581*x_612 - 1.65400683879852*x_648 + 0.629666149616241*x_658 - 0.245890468358994*x_713 - 0.879093050956726*x_737 - 1.65580546855927*x_742 - 2.24412083625793*x_98) - 0.118339274436455 - 0.165867567062378*exp(-44.0281257585602*(0.0633902515979084*x_151 + 0.0492988000397833*x_174 + 0.039550484183757*x_234 - 0.152351556673487*x_289 - 0.125644951937346*x_291 - 0.139617667949803*x_315 - 0.0959943111139345*x_331 - 0.0691296393457655*x_357 + 0.0697727093723218*x_377 - 0.0463063642611792*x_427 - 0.0548422579681271*x_484 - 0.0749884857601425*x_486 - 0.0492729338721521*x_490 + 0.12047068538131*x_507 - 0.0604340077933923*x_514 - 0.119880510971387*x_516 - 0.0836727360191006*x_517 - 0.0624797166846635*x_519 - 0.505599344839932*x_557 + 0.0926120907387496*x_591 - x_612 - 0.0519873139630127*x_638 + 0.0533211755009458*x_655 + 0.0699781610316299*x_679 - 0.519874630786171*x_741 - 0.59557821569777*x_742 - 0.647885741946787*x_746 - 0.574131547127214*x_748 - 0.162504892069766)**2)
9,0.078*x_210 + 0.072*x_212 - 0.055*x_217 - 0.14*x_232 - 0.045*x_234 - 0.1*x_257 + 0.024*x_289 + 0.026*x_330 + 0.021*x_351 + 0.047*x_371 + 0.04*x_381 + 0.036*x_383 + 0.049*x_402 + 0.096*x_406 + 0.035*x_409 - 0.041*x_414 + 0.082*x_430 + 0.036*x_458 - 0.014*x_490 - 0.047*x_544 - 0.037*x_550 - 0.021*x_552 - 0.048*x_569 - 0.039*x_655 - 0.048*x_658 + 0.35*x_695 + 0.085*x_711 + 0.08*x_713 + 0.094*x_716 + 0.11*x_717 + 0.096*x_718 + 0.2*x_719 + 0.34*x_721 + 0.14*x_737 + 0.15*x_742 + 0.16*x_748 + 0.26*sin(0.633326411247253*x_232 + 0.217057377099991*x_234 - 0.170376688241959*x_375 - 0.47721591591835*x_406 - 0.684851109981537*x_430 - 0.171974167227745*x_439 + 0.665997087955475*x_707 + 2.03502440452576*x_708 + 1.56369209289551*x_710 + 1.09482336044312*x_711 + 0.900221526622772*x_712 + 1.71201133728027*x_713 + 1.77962732315063*x_715 + 0.661284565925598*x_716 + 1.0798374414444*x_717 + 0.923454165458679*x_718 + 1.0086385011673*x_719 + 1.4043140411377*x_721 + 0.73102205991745*x_737 + 0.777802646160126*x_742 + 1.08423042297363*x_748),176,0.962,0.077532704948867*x_210 + 0.0719213510874148*x_212 - 0.0554486869628201*x_217 - 0.139081094580483*x_232 - 0.0454326834774132*x_234 - 0.101857327222934*x_257 + 0.0240053777023372*x_289 + 0.0257863441043944*x_330 + 0.0214606695033179*x_351 + 0.0466197491697837*x_371 + 0.0399654091242927*x_381 + 0.0362229448212834*x_383 + 0.0489453516692557*x_402 + 0.0956324504164225*x_406 + 0.0354627698089467*x_409 - 0.0410710203923008*x_414 + 0.081485672875468*x_430 + 0.0356874573558352*x_458 - 0.0139242139086739*x_490 - 0.0471281862400552*x_544 - 0.0367419032848089*x_550 - 0.0212158190596479*x_552 - 0.0475595559067754*x_569 - 0.0389518035006713*x_655 - 0.0483479023037425*x_658 + 0.353152426944209*x_695 + 0.0846929554374256*x_711 + 0.079529837089761*x_713 + 0.0936039218201543*x_716 + 0.110859314966627*x_717 + 0.0958347256309295*x_718 + 0.204154326740634*x_719 + 0.335985736406322*x_721 + 0.144769360277209*x_737 + 0.149850281016816*x_742 + 0.155948006301168*x_748 + 0.257369428873062*sin(0.633326411247253*x_232 + 0.217057377099991*x_234 - 0.170376688241959*x_375 - 0.47721591591835*x_406 - 0.684851109981537*x_430 - 0.171974167227745*x_439 + 0.665997087955475*x_707 + 2.03502440452576*x_708 + 1.56369209289551*x_710 + 1.09482336044312*x_711 + 0.900221526622772*x_712 + 1.71201133728027*x_713 + 1.77962732315063*x_715 + 0.661284565925598*x_716 + 1.0798374414444*x_717 + 0.923454165458679*x_718 + 1.0086385011673*x_719 + 1.4043140411377*x_721 + 0.73102205991745*x_737 + 0.777802646160126*x_742 + 1.08423042297363*x_748)
